file_order,batch,batch_date,run_id,filename_prefix,sample_name_old,sample_name,staging,staging_order,stage,stage_long
1,1,010924,23734,23734X2,23734X2-Day32-ES,23734X2-Day32-ES,ES_8-9,10,earliest_ES,Earliest Elongating Spermatids
2,1,010924,23734,23734X3,23734X3-Day34-ES,23734X3-Day34-ES,ES_9-12,13,early_ES,Early Elongating Spermatids
3,1,010924,23734,23734X4,23734X4-Day35-ES,23734X4-Day35-ES,ES_12-13,15,early_ES,Early Elongating Spermatids
4,2,120324,24290R,24290X4,day35-wt-rs-rep1,24290X4-Day35-WT-RS-rep1,RS_1-2,2,early_RS,Early Round Spermatids
5,2,120324,24290R,24290X6,day35-wt-rs-rep2,24290X6-Day35-WT-RS-rep2,RS_2-3,4,early_RS,Early Round Spermatids
6,2,120324,24290R,24290X8,day38-wt-rs-rep1,24290X8-Day38-WT-RS-rep1,RS_6,9,late_RS,Late Round Spermatids 
7,2,120324,24290R,24290X10,day38-wt-rs-rep2,24290X10-Day38-WT-RS-rep2,RS_6,8,late_RS,Late Round Spermatids 
8,2,120324,24290R,24290X3,day32-wt-es,24290X3-Day32-WT-ES,ES_9-12,14,early_ES,Early Elongating Spermatids
9,2,120324,24290R,24290X2,day34-wt-es,24290X2-Day34-WT-ES,ES_13-14,20,int_ES,Intermediate Elongating Spermatids
10,2,120324,24290R,24290X5,day35-wt-es-rep1,24290X5-Day35-WT-ES-rep1,ES_13-14,18,int_ES,Intermediate Elongating Spermatids
11,2,120324,24290R,24290X7,day35-wt-es-rep2,24290X7-Day35-WT-ES-rep2,ES_14,21,int_ES,Intermediate Elongating Spermatids
12,2,120324,24290R,24290X9,day38-wt-es-rep1,24290X9-Day38-WT-ES-rep1,ES_15,26,late_ES,Late Elongating Spermatids 
13,2,120324,24290R,24290X11,day38-wt-es-rep2,24290X11-Day38-WT-ES-rep2,ES_15,25,late_ES,Late Elongating Spermatids 
14,3,051425,26104R,26104X4,26104X4-Day32-RS-B,26104X4-Day32-RS-B,RS_1,1,early_RS,Early Round Spermatids
15,3,051425,26104R,26104X8,26104X8-Day33-RS,26104X8-Day33-RS,RS_2-3,3,early_RS,Early Round Spermatids
16,3,051425,26104R,26104X10,26104X10-Day35-RS-B,26104X10-Day35-RS-B,RS_2-4,5,early_RS,Early Round Spermatids
17,3,051425,26104R,26104X12,26104X12-Day-36-RS-A,26104X12-Day36-RS-A,RS_4-5,6,int_RS,Intermediate Round Spermatids 
18,3,051425,26104R,26104X14,26104X14-Day-36-RS-B,26104X14-Day36-RS-B,RS_4-5,7,int_RS,Intermediate Round Spermatids 
19,3,051425,26104R,26104X1,26104X1-Day30-RS,26104X1-Day30-ES,ES_8-9,12,earliest_ES,Earliest Elongating Spermatids
20,3,051425,26104R,26104X3,26104X3-Day31-RS,26104X3-Day31-ES,ES_8-9,11,earliest_ES,Earliest Elongating Spermatids
21,3,051425,26104R,26104X6,26104X6-Day32-ES-B,26104X6-Day32-ES-B,ES_12-13,16,early_ES,Early Elongating Spermatids
22,3,051425,26104R,26104X9,26104X9-Day33-ES,26104X9-Day33-ES,ES_13-14,19,int_ES,Intermediate Elongating Spermatids
23,3,051425,26104R,26104X5,26104X5-Day32-ES-A,26104X5-Day32-ES-A,ES_13-14,17,int_ES,Intermediate Elongating Spermatids
24,3,051425,26104R,26104X11,26104X11-Day35-ES-B,26104X11-Day35-ES-B,ES_14-15,22,int_ES,Intermediate Elongating Spermatids
25,3,051425,26104R,26104X13,26104X13-Day3-6ES-A,26104X13-Day36-ES-A,ES_15,23,late_ES,Late Elongating Spermatids 
26,3,051425,26104R,26104X15,26104X15-Day36-ES-B,26104X15-Day36-ES-B,ES_15,24,late_ES,Late Elongating Spermatids 
27,3,051425,26104R,26104X2,26104X2-MESC,26104X2-MESC,mESC,0,mESC,Embryonic Stem Cell
28,3,051425,26104R,26104X7,26104X7-MESC,26104X7-MESC,mESC,0,mESC,Embryonic Stem Cell
