file_order,batch,batch_id,batch_date,run_id,filename_prefix,sample_name_old,sample_name,genotype,staging,staging_order,stage,stage_long
1,1,NA,10924,23734,23734X2,23734X2-Day32-ES,23734X2-Day32-ES,WT,ES_8-9,10,earliest_ES,Earliest Elongating Spermatids
2,1,NA,10924,23734,23734X3,23734X3-Day34-ES,23734X3-Day34-ES,WT,ES_9-12,14,early_ES,Early Elongating Spermatids
3,1,NA,10924,23734,23734X4,23734X4-Day35-ES,23734X4-Day35-ES,WT,ES_12-13,16,early_ES,Early Elongating Spermatids
4,2,NA,120324,24290R,24290X4,day35-wt-rs-rep1,24290X4-Day35-WT-RS-rep1,WT,RS_1-2,2,early_RS,Early Round Spermatids
5,2,NA,120324,24290R,24290X6,day35-wt-rs-rep2,24290X6-Day35-WT-RS-rep2,WT,RS_2-3,4,early_RS,Early Round Spermatids
6,2,NA,120324,24290R,24290X8,day38-wt-rs-rep1,24290X8-Day38-WT-RS-rep1,WT,RS_6,9,late_RS,Late Round Spermatids 
7,2,NA,120324,24290R,24290X10,day38-wt-rs-rep2,24290X10-Day38-WT-RS-rep2,WT,RS_6,8,late_RS,Late Round Spermatids 
8,2,NA,120324,24290R,24290X3,day32-wt-es,24290X3-Day32-WT-ES,WT,ES_9-12,15,early_ES,Early Elongating Spermatids
9,2,NA,120324,24290R,24290X2,day34-wt-es,24290X2-Day34-WT-ES,WT,ES_13-14,26,int_ES,Intermediate Elongating Spermatids
10,2,NA,120324,24290R,24290X5,day35-wt-es-rep1,24290X5-Day35-WT-ES-rep1,WT,ES_13-14,24,int_ES,Intermediate Elongating Spermatids
11,2,NA,120324,24290R,24290X7,day35-wt-es-rep2,24290X7-Day35-WT-ES-rep2,WT,ES_14,27,int_ES,Intermediate Elongating Spermatids
12,2,NA,120324,24290R,24290X9,day38-wt-es-rep1,24290X9-Day38-WT-ES-rep1,WT,ES_15,36,late_ES,Late Elongating Spermatids 
13,2,NA,120324,24290R,24290X11,day38-wt-es-rep2,24290X11-Day38-WT-ES-rep2,WT,ES_15,35,late_ES,Late Elongating Spermatids 
14,3,NA,51425,26104R,26104X4,26104X4-Day32-RS-B,26104X4-Day32-RS-B,WT,RS_1,1,early_RS,Early Round Spermatids
15,3,NA,51425,26104R,26104X8,26104X8-Day33-RS,26104X8-Day33-RS,WT,RS_2-3,3,early_RS,Early Round Spermatids
16,3,NA,51425,26104R,26104X10,26104X10-Day35-RS-B,26104X10-Day35-RS-B,WT,RS_2-4,5,early_RS,Early Round Spermatids
17,3,NA,51425,26104R,26104X12,26104X12-Day-36-RS-A,26104X12-Day36-RS-A,WT,RS_4-5,6,int_RS,Intermediate Round Spermatids 
18,3,NA,51425,26104R,26104X14,26104X14-Day-36-RS-B,26104X14-Day36-RS-B,WT,RS_4-5,7,int_RS,Intermediate Round Spermatids 
19,3,NA,51425,26104R,26104X1,26104X1-Day30-RS,26104X1-Day30-ES,WT,ES_8-9,12,earliest_ES,Earliest Elongating Spermatids
20,3,NA,51425,26104R,26104X3,26104X3-Day31-RS,26104X3-Day31-ES,WT,ES_8-9,11,earliest_ES,Earliest Elongating Spermatids
21,3,NA,51425,26104R,26104X6,26104X6-Day32-ES-B,26104X6-Day32-ES-B,WT,ES_12-13,17,early_ES,Early Elongating Spermatids
22,3,NA,51425,26104R,26104X9,26104X9-Day33-ES,26104X9-Day33-ES,WT,ES_13-14,25,int_ES,Intermediate Elongating Spermatids
23,3,NA,51425,26104R,26104X5,26104X5-Day32-ES-A,26104X5-Day32-ES-A,WT,ES_13-14,23,int_ES,Intermediate Elongating Spermatids
24,3,NA,51425,26104R,26104X11,26104X11-Day35-ES-B,26104X11-Day35-ES-B,WT,ES_14-15,28,int_ES,Intermediate Elongating Spermatids
25,3,NA,51425,26104R,26104X13,26104X13-Day3-6ES-A,26104X13-Day36-ES-A,WT,ES_15,33,late_ES,Late Elongating Spermatids 
26,3,NA,51425,26104R,26104X15,26104X15-Day36-ES-B,26104X15-Day36-ES-B,WT,ES_15,34,late_ES,Late Elongating Spermatids 
27,3,NA,51425,26104R,26104X2,26104X2-MESC,26104X2-MESC,WT,mESC,0,mESC,Embryonic Stem Cell
28,3,NA,51425,26104R,26104X7,26104X7-MESC,26104X7-MESC,WT,mESC,0,mESC,Embryonic Stem Cell
29,4,A8693,70126,26709,26709X1,PRM2-KO-257,PRM2-KO-257,PRM2_KO,ES_8-15,30,mixed_ES,Mixed Elongating Spermatids
30,4,A8693,70126,26709,26709X2,PRM2-KO-256-258,PRM2-KO-256-258,PRM2_KO,ES_8-15,31,mixed_ES,Mixed Elongating Spermatids
31,4,A8693,70126,26709,26709X3,PRM1-Het-RS-2153-day42,PRM1-Het-RS-2153-day42,PRM1_Het,ES_8-9,13,earliest_ES,Earliest Elongating Spermatids
32,4,A8693,70126,26709,26709X4,PRM1-Het-ES-2153-day42,PRM1-Het-ES-2153-day42,PRM1_Het,ES_12-13,20,early_ES,Early Elongating Spermatids
33,4,A8693,70126,26709,26709X5,WT-ES-day42,WT-ES-day42,WT,ES_12-13,18,early_ES,Early Elongating Spermatids
34,5,A8730,70126,26868,26868X1,2156-PRM1-Het,2156-PRM1-Het,PRM1_Het,ES_12-13,21,early_ES,Early Elongating Spermatids
35,5,A8730,70126,26868,26868X2,2157-PRM1-Het,2157-PRM1-Het,PRM1_Het,ES_12-13,22,early_ES,Early Elongating Spermatids
36,5,A8730,70126,26868,26868X3,2158-WT,2158-WT,WT,ES_12-13,19,early_ES,Early Elongating Spermatids
37,6,A8756,70126,26979,26979X6,PRM2-WT,PRM2-WT,WT,ES_8-15,29,mixed_ES,Mixed Elongating Spermatids
38,6,A8756,70126,26979,26979X7,PRM2-KO,PRM2-KO,PRM2_KO,ES_8-15,32,mixed_ES,Mixed Elongating Spermatids
